Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin_11756	99.53	1.17	Gradient Boost (General Model)	11	0.843	8900	292.99386363636364	4584276	0.39	4400	616	31455	None
bin_1269	88.86	3.99	Neural Network (Specific Model)	11	0.921	30663	323.8014625228519	2881640	0.31	2735	144	98119	None
bin_2024	85.21	0.6	Gradient Boost (General Model)	11	0.914	16074	325.67900815217394	3144490	0.32	2944	238	44693	None
bin_289431	79.32	0.91	Gradient Boost (General Model)	11	0.897	9695	301.1890964544415	2638237	0.32	2623	334	36588	None
bin_291065	75.3	6.82	Neural Network (Specific Model)	11	0.937	8716	300.78373093468906	2457884	0.34	2557	348	75380	None
bin_319	90.67	1.45	Neural Network (Specific Model)	11	0.934	60409	331.2206090651558	3001399	0.32	2824	88	163122	None
bin_332620	96.46	0.58	Gradient Boost (General Model)	11	0.909	18119	315.42677096914383	2393338	0.48	2301	188	67816	None
bin_335615	79.24	2.84	Gradient Boost (General Model)	11	0.924	2208	240.7979931344072	2953807	0.4	3787	1413	11890	None
bin_370776	89.95	10.28	Neural Network (Specific Model)	11	0.853	9870	296.6980830670926	5221653	0.44	5008	661	42443	None
bin_381082	93.7	51.21	Gradient Boost (General Model)	11	0.871	1497	202.5707593688363	8474798	0.45	12168	5661	5501	None
bin_422462	76.56	27.1	Gradient Boost (General Model)	11	0.924	2147	223.22445464982778	3778111	0.49	5226	1872	16283	None
bin_446643	79.58	2.4	Gradient Boost (General Model)	11	0.921	4478	276.4431693989071	1645677	0.49	1830	400	19260	None
bin_484164	96.11	0.97	Gradient Boost (General Model)	11	0.897	22278	319.3680501174628	4086077	0.46	3831	277	80752	None
bin_575448	92.35	0.01	Neural Network (Specific Model)	11	0.875	52022	341.54031800113574	4121463	0.4	3522	142	170892	None
bin_582624	90.74	0.13	Gradient Boost (General Model)	11	0.904	10756	272.73159041394337	2075645	0.39	2295	237	44622	None
bin_586365	99.28	49.82	Neural Network (Specific Model)	11	0.894	16978	315.1441517033059	6296159	0.4	5959	519	82872	None
bin_590945	99.66	0.36	Neural Network (Specific Model)	11	0.923	37451	342.89600249843846	3567089	0.32	3202	150	125084	None
bin_596555	95.07	0.3	Neural Network (Specific Model)	11	0.901	35133	330.31591039632394	5737126	0.33	5223	243	215905	None
bin_599023	79.36	1.92	Neural Network (Specific Model)	11	0.926	9474	302.86391571554	2232419	0.3	2278	294	42654	None
bin_610670	97.6	0.71	Gradient Boost (General Model)	11	0.915	49913	328.5427210479309	3614142	0.36	3359	170	110596	None
bin_649781	90.44	0.31	Gradient Boost (General Model)	11	0.861	6736	296.89707649179013	5157110	0.4	4994	949	44424	None
bin_660044	77.37	21.09	Gradient Boost (General Model)	11	0.926	3903	278.3707932692308	2997562	0.32	3328	858	21860	None
bin_692197	100.0	1.73	Gradient Boost (General Model)	11	0.838	19465	329.6213879408419	5178681	0.45	4395	393	91366	None
bin_754860	99.91	0.09	Neural Network (Specific Model)	11	0.846	131185	343.3758865248227	4804107	0.41	3948	104	476646	None
bin_836214	91.99	0.38	Neural Network (Specific Model)	11	0.873	20481	315.28325193909797	3766948	0.44	3481	323	68811	None
bin_870593	90.06	2.94	Neural Network (Specific Model)	11	0.916	16342	317.27557603686637	3378969	0.3	3255	358	76048	None
bin_885747	98.3	0.68	Gradient Boost (General Model)	11	0.904	88710	358.9957264957265	5561567	0.65	4680	137	252772	None
bin_892601	99.88	0.05	Neural Network (Specific Model)	11	0.806	32598	324.7879684418146	6126132	0.39	5070	300	102302	None
bin_892885	95.87	1.69	Neural Network (Specific Model)	11	0.914	32649	350.48214285714283	3928204	0.32	3416	200	112960	None
bin_892974	88.54	1.04	Gradient Boost (General Model)	11	0.931	6714	274.9569957601454	2919671	0.33	3302	562	36767	None
bin_894258	93.74	1.75	Neural Network (Specific Model)	11	0.916	13201	322.04626982063945	4051604	0.36	3847	466	45088	None
bin_899806	76.05	7.72	Gradient Boost (General Model)	11	0.888	2803	257.82315686911335	5357918	0.48	6158	2139	39714	None
bin_901601	92.17	1.34	Neural Network (Specific Model)	11	0.907	11650	295.25282663316585	3103308	0.38	3184	389	45419	None
bin_939515	78.05	20.53	Gradient Boost (General Model)	11	0.922	1756	224.77638000216896	6726370	0.64	9221	3789	14968	None
