Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin_1030637	95.14	1.29	Gradient Boost (General Model)	11	0.93	52200	325.7738043946575	4867065	0.62	4642	152	183065	None
bin_1047037	88.66	0.91	Neural Network (Specific Model)	11	0.887	16112	303.63394109396916	3654981	0.6	3565	328	96306	None
bin_1048668	99.72	0.06	Gradient Boost (General Model)	11	0.887	62436	316.7962445065921	2677092	0.43	2503	78	190839	None
bin_1065179	86.52	0.41	Gradient Boost (General Model)	11	0.926	9080	353.5209824018565	5913631	0.64	5171	865	38672	None
bin_1069559	88.48	1.55	Gradient Boost (General Model)	11	0.935	34002	320.358220603538	3943993	0.62	3844	176	77593	None
bin_1070024	88.74	2.6	Gradient Boost (General Model)	11	0.927	35331	326.9496402877698	5282451	0.62	5004	221	108792	None
bin_1078928	87.54	2.77	Neural Network (Specific Model)	11	0.821	69230	311.09817087288724	4908150	0.37	4319	138	242513	None
bin_1177133	92.39	0.63	Gradient Boost (General Model)	11	0.932	28025	319.7195850361521	3267700	0.6	3181	164	82825	None
bin_1190068	89.25	1.72	Neural Network (Specific Model)	11	0.916	12519	296.620232172471	2922806	0.57	3015	342	67190	None
bin_1223417	77.49	1.78	Gradient Boost (General Model)	11	0.89	3747	254.5612658912632	3168983	0.36	3697	992	23988	None
bin_1272423	84.38	3.84	Gradient Boost (General Model)	11	0.909	6996	292.7623095997166	2719894	0.6	2823	508	61870	None
bin_1299134	77.65	6.98	Gradient Boost (General Model)	11	0.873	8341	329.2323682256867	4561391	0.55	4041	644	35390	None
bin_1315445	91.29	1.28	Neural Network (Specific Model)	11	0.919	39816	326.4679310344828	3088916	0.31	2900	113	138684	None
bin_1318659	100.0	0.04	Gradient Boost (General Model)	11	0.889	50168	310.5148131267092	4590481	0.57	4388	130	177035	None
bin_1327645	99.54	1.39	Gradient Boost (General Model)	11	0.863	21481	299.104571818492	6081689	0.6	5862	445	118452	None
bin_1330403	98.98	0.06	Gradient Boost (General Model)	11	0.891	68686	330.61006289308176	2653612	0.46	2385	91	258333	None
